序号,零件名称,零件类型,三角面数,X尺寸(mm),Y尺寸(mm),Z尺寸(mm),包围盒体积(cm³),是否显示,颜色
171,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_44,弹簧,1728,23.0,13.5,13.5,4.2,是,#949da8
172,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_45,弹簧,1728,23.0,13.5,13.5,4.2,是,#99a2ad
173,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_46,弹簧,1732,23.0,13.5,13.5,4.2,是,#9fa8b1
174,QBJ18-000_压缩弹簧_压缩后_压缩弹簧_Φ135XΦ27X275_47,弹簧,1728,23.0,13.5,13.5,4.2,是,#a5adb6
175,O形圈φ510X7_1,O形圈/密封,19754,9.5,532.0,532.0,2688.4,是,#89939f
176,GBT_1192_圆柱销_Φ10_Φ10X20_1,销/键,256,22.0,10.0,10.0,2.2,是,#8e98a3
177,GBT_1192_圆柱销_Φ16_Φ16X35,销/键,256,16.0,16.0,35.0,8.9,是,#949da8
178,GBT_1192_圆柱销_Φ16_Φ16X35_1,销/键,256,16.0,16.0,35.0,8.9,是,#99a2ad
179,保护罩^注脂阀_05_NPT-华尔特,注脂/放空/排泄阀,582,32.0,21.0,37.0,24.9,是,#9fa8b1
180,体^注脂阀_05_NPT-华尔特,注脂/放空/排泄阀,1734,25.4,46.0,29.3,34.3,是,#a5adb6
181,钢球^注脂阀_05_NPT-华尔特,注脂/放空/排泄阀,86,6.1,6.3,6.3,0.2,是,#89939f
182,弹簧座^注脂阀_05_NPT-华尔特,弹簧,256,8.0,4.8,8.0,0.3,是,#8e98a3
183,弹簧^注脂阀_05_NPT-华尔特,弹簧,866,7.8,19.0,7.8,1.2,是,#949da8
184,保护罩^注脂阀_05_NPT-华尔特_1,注脂/放空/排泄阀,582,32.0,21.0,37.0,24.9,是,#99a2ad
185,体^注脂阀_05_NPT-华尔特_1,注脂/放空/排泄阀,1734,25.4,46.1,29.3,34.3,是,#9fa8b1
186,钢球^注脂阀_05_NPT-华尔特_1,注脂/放空/排泄阀,86,6.1,6.3,6.3,0.2,是,#a5adb6
187,弹簧座^注脂阀_05_NPT-华尔特_1,弹簧,256,8.0,4.8,8.0,0.3,是,#89939f
188,弹簧^注脂阀_05_NPT-华尔特_1,弹簧,866,7.8,19.0,7.8,1.2,是,#8e98a3
